MW,Functional_Group,Branching,Predicted_BP,Actual_BP,Error
46,Alcohol,0,83.62,78,5.62
116.2,Alcohol,0,176.284,176,0.284
60,Acid,0,109.23,118,8.77
72.15,Alkane,1,30.289395,36,5.710605
114.19,Ketone,0,149.8811,151,1.1189
58.08,Ketone,0,55.0552,56,0.9448
58.12,Alkane,-10,-22.594364,-11.7,10.894364
46,Alcohol,0,83.62,78,5.62
60,Acid,0,109.23,118,8.77
72.15,Alkane,0,29.289395,36,6.710605
72.15,Alkane,-10,19.289395,27.8,8.510605
72.15,Alkane,-20,9.289395,9.5,0.210605
86.13,Ketone,0,102.4597,100,2.4597
100.16,Ketone,0,126.1704,127,0.8296
114.19,Ketone,0,149.8811,151,1.1189
58.08,Ketone,0,55.0552,56,0.9448
74.12,Alcohol,0,120.7384,117.7,3.0384
88.15,Alcohol,0,139.258,137.5,1.758
102.17,Alcohol,0,157.7644,157,0.7644
44.05,Aldehyde,0,20.538,20,0.538
58.08,Aldehyde,0,48.0368,49,0.9632
72.11,Aldehyde,0,75.5356,75,0.5356
78.11,Ether,0,58.9348,80,21.0652
92.14,Ether,0,96.5352,110.6,14.0648
88.15,Alcohol,0,139.258,137.5,1.758
102.17,Alcohol,0,157.7644,157,0.7644
116.2,Alcohol,0,176.284,176,0.284
74.12,Ether,0,48.2416,34.6,13.6416
88.15,Ether,0,85.842,69,16.842
101.19,Ether,0,120.7892,118,2.7892
58.12,Alkane,-10,-22.594364,-11.7,10.894364
86.18,Alkane,-20,51.173154,49.7,1.473154
100.2,Alkane,-10,103.02706,90,13.02706
44.05,Aldehyde,0,20.538,20,0.538
72.11,Aldehyde,0,75.5356,75,0.5356
100.16,Ketone,0,126.1704,127,0.8296
100.2,Alkane,-25,88.02706,80,8.02706
114.23,Alkane,-25,129.910819,99,30.910819
114.23,Alkane,-30,124.910819,90,34.910819
128.26,Alkane,-25,171.794578,118,53.794578
84.16,Alkane,0,65.142848,80.7,15.557152
98.19,Alkane,0,107.026607,110.6,3.573393
78.11,Alkane,0,47.081783,80.1,33.018217
92.14,Alkane,0,88.965542,110.6,21.634458
58.12,Alkane,-8,-20.594364,-11.7,8.894364
72.15,Alkane,-8,21.289395,27.83,6.540605
72.15,Alkane,-18,11.289395,-16.37,27.659395
86.18,Alkane,-8,63.173154,60.27,2.903154
86.18,Alkane,-18,53.173154,49.7,3.473154
100.2,Alkane,-24,89.02706,80.9,8.12706
